lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-118.03444440000001,34.1397222,2001-12-14 22:00:00,arcadia,ca,us,light,3600.0,Large&#44 bright stationary light in sky over eastern LA county.,2001,12,14
-93.60888890000001,41.60055560000001,2001-12-15 20:00:00,des moines,ia,us,triangle,240.0,I was driving to the store and when I turned onto county line road&#44 I saw a huge triangle shape /_\ just like that&#44&#44 In the middle ther,2001,12,15
-79.7555556,33.8708333,2001-12-16 21:00:00,lake city,sc,us,light,300.0,it was like a light just sitting in the air and it just went out and it light up in a zigzag pattern and the light just went out for a,2001,12,16
-117.24166670000001,33.2,2001-12-18 22:30:00,vista,ca,us,oval,25.0,helicopter shaped craft&#44 many lights&#44 no chopper blades&#44 10pm san diego california. 12-18-01.,2001,12,18
-90.3711111,40.9477778,2001-12-19 21:45:00,galesburg,il,us,triangle,15.0,Triangular object with dim lights traveling quietly north to south at unusal speed and course.,2001,12,19
-73.0519444,41.5580556,2001-12-19 23:25:00,waterbury,ct,us,other,120.0,I DREW A PICTURE OF WHAT I SAW.,2001,12,19
-87.73638890000001,40.7761111,2001-12-19 23:30:00,watseka,il,us,triangle,900.0,Triangular-shaped object seen near Watseka&#44 IL,2001,12,19
-83.5552778,41.663888899999996,2001-12-20 08:36:00,toledo,oh,us,cylinder,120.0,cylider shaped object over Toledo OH,2001,12,20
-97.98777779999999,47.679444399999994,2001-12-20 19:30:00,aneta (by/near),nd,us,circle,15.0,Coming from Grand Forks going west on highway 15. We were looking at Christmas lights when we noticed 5 white lights to the south of us,2001,12,20
-77.19666670000001,38.8302778,2001-12-20 22:20:00,annandale,va,us,light,180.0,two bright blinking lights,2001,12,20
-72.68222220000001,41.288888899999996,2001-12-22 15:08:00,guilford,ct,us,oval,15.0,Three white ovals were seen floating in sky over cul-de-sac.,2001,12,22
-79.685,34.6172222,2001-12-22 16:40:00,bennettsville,sc,us,sphere,900.0,This was no plane&#44It was metallic&#44no lights and it did not move till it was ready.,2001,12,22
-122.48694440000001,48.7597222,2001-12-23 20:27:00,bellingham,wa,us,formation,20.0,Approx. 20:27 hours&#44 under a clear sky and the moon out&#44 I noticed something moving across the sky. It caught my attention in the south,2001,12,23
-122.20416670000002,47.7625,2001-12-23 21:25:00,bothell,wa,us,cone,1020.0,Seemed to fade into sky&#44 and left the same way&#44 slowly fading out.,2001,12,23
-81.2841667,35.2847222,2001-12-24 14:30:00,bessemer city,nc,us,cigar,25.0,I walked out on my deck on a clear sunny afternoon&#44I looded up at the sky to see if they had been spraying chemtrails.There was no chem,2001,12,24
-122.675,45.523611100000004,2001-12-24 23:00:00,portland,or,us,light,3600.0,a flickering light&#44 that changed color&#44 and greww larger and started to throb when airplanes came near.,2001,12,24
-79.3194444,37.9283333,2001-12-25 22:30:00,brownsburg,va,us,rectangle,180.0,It was quiet  but it moving slowly across the sky.,2001,12,25
-86.7844444,36.165833299999996,2001-12-26 01:45:00,nashville,tn,us,triangle,300.0,Triangular Craft seen in Nashville Tennessee,2001,12,26
-73.04777779999999,40.925277799999996,2001-12-26 12:30:00,port jefferson station,ny,us,sphere,6.0,I was heading out to my van for some more tools&#44 {contractor by trade} I heard to helicopter flying overhead about two or three o&#39clock,2001,12,26
-96.7294444,32.9480556,2001-12-28 21:45:00,richardson,tx,us,triangle,180.0,Triangular shape ship with red light on bottom moving a circular motion. Went very slowly.,2001,12,28
-111.3,47.5002778,2001-12-29 03:00:00,great falls,mt,us,triangle,240.0,Large triangular craft observed over Great Falls Montana.,2001,12,29
-73.4825,40.7441667,2001-12-30 03:00:00,bethpage,ny,us,light,2700.0,bright light being followed by fighter jet repeatedly for approx 45 minutes,2001,12,30
