lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-78.63888890000001,35.771944399999995,2007-04-14 23:30:00,raleigh,nc,us,triangle,4.0,Glowing green triangle moving at a very fast pace&#44 stopping&#44 flew away even faster&#44 no noise over RBC Center.,2007,4,14
-118.2427778,34.0522222,2007-10-12 19:20:00,west los angeles,ca,us,unknown,600.0,un-steady flight as if it was shaking almost moving left to right flying forward single slow flashing red light not like cesna or multi,2007,10,12
-87.94027779999999,41.89944439999999,2008-01-02 23:00:00,elmhurst,il,us,other,60.0,orang/brownish ship with small blue lights and yellow-white larger lights with blue exhaust,2008,1,2
-81.5983333,40.7069444,2008-01-03 01:00:00,brewster,oh,us,other,5.0,It was loud and fast and had lights spinning around it.,2008,1,3
-85.7594444,38.2541667,2008-01-10 03:56:00,louisville,ky,us,light,120.0,Bright white light&#44 dissapearing and reappearing in different locations in the night sky&#44 eventually dissapearing&#44 fading away.,2008,1,10
-74.7094444,40.9027778,2008-01-13 04:30:00,stanhope,nj,us,light,300.0,Two Flying Lights,2008,1,13
-90.4327778,38.6008333,2008-01-20 10:30:00,des peres,mo,us,circle,30.0,silver circle in st. louis,2008,1,20
-112.07333329999999,33.4483333,2008-04-21 20:00:00,phoenix (north of),az,us,formation,900.0,I am relaying&#44  a Sightings Location and Proximity to possible Key Investigative Areas of Intrest..,2008,4,21
-117.1963889,33.709166700000004,2008-06-16 22:00:00,sun city,ca,us,fireball,120.0,Fireball and something &quot;falling&quot; from it viewed over Sun City California&#44 June 16&#44 2008,2008,6,16
-87.1638889,30.356944399999996,2008-07-16 20:45:00,gulf breeze,fl,us,triangle,180.0,Triangular shape object with five white light in a triangular formation beneath object structure.,2008,7,16
-76.9961111,39.5752778,2008-08-10 21:50:00,westminster,md,us,fireball,2.0,Small Orange Light Observed Traveling South,2008,8,10
-92.3427778,42.4927778,2008-08-31 01:20:00,waterloo,ia,us,light,2100.0,Over Waterloo viewed from Dewar and Oelwein,2008,8,31
-83.9208333,35.960555600000006,2008-09-28 20:30:00,knoxville,tn,us,light,120.0,Orangish&#44 white &quot;stars&quot; or &quot;planets&quot; in Orion&#39s Belt&#44 then moved and flew off,2008,9,28
-122.8025,45.4872222,2008-11-23 14:45:00,beaverton,or,us,sphere,60.0,Shiny Silver Half Sphere with bright light reflecting underneath floating around Beaverton Mall&#44 Oregon,2008,11,23
-118.2427778,34.0522222,2008-12-06 22:00:00,los angeles,ca,us,light,1200.0,2 light shapes moving in a pattern at incredible speed.,2008,12,6
-119.28833329999999,45.8405556,2009-04-16 02:00:00,hermiston,or,us,triangle,8.0,V Light Formation,2009,4,16
-112.07333329999999,33.4483333,2009-05-18 19:00:00,phoenix,az,us,sphere,21600.0,Bubble like sphere seen in Phoenix sky.  ((NUFORC Note:  Confirmed high-altitude research balloon.  PD)),2009,5,18
-122.33083329999998,47.6063889,2009-07-04 23:15:00,seattle,wa,us,light,120.0,Three Red/Orange hovering lights in the Seattle metro area,2009,7,4
